setup	problem	target	train_dataset	test_dataset	is_null	metric	i_split	i_iter	score
federated	regression	nb:Age	site1-site2	site1	True	explained_variance	0	0	0.003818941274840504
federated	regression	nb:Age	site1-site2	site2	True	r2	0	0	-26.229114758574283
federated	regression	nb:Age	site1-site2	site2	True	mean_squared_error	0	0	5467.401507395633
federated	regression	nb:Age	site1-site2	site2	True	mean_absolute_error	0	0	72.57484385285099
federated	regression	nb:Age	site1-site2	site2	True	explained_variance	0	0	0.002484823398191671
federated	regression	nb:Age	site1-site2	site1-site2	True	r2	0	0	-24.091469580424224
federated	regression	nb:Age	site1-site2	site1-site2	True	mean_squared_error	0	0	5311.081461169055
federated	regression	nb:Age	site1-site2	site1-site2	True	mean_absolute_error	0	0	71.41424959662992
federated	regression	nb:Age	site1-site2	site1-site2	True	explained_variance	0	0	0.0027514325310746823
federated	regression	nb:Age	site1-site2	site1-site2-weighted	True	r2	0	0	-24.091469580424224
federated	regression	nb:Age	site1-site2	site1-site2-weighted	True	mean_squared_error	0	0	5311.081461169055
federated	regression	nb:Age	site1-site2	site1-site2-weighted	True	mean_absolute_error	0	0	71.4142495966299
federated	regression	nb:Age	site1-site2	site1-site2-weighted	True	explained_variance	0	0	0.0027514325310746823
mega	regression	nb:Age	site1-site2	site1	True	r2	0	0	-22.764298103795692
mega	regression	nb:Age	site1-site2	site1	True	mean_squared_error	0	0	5228.753736526879
mega	regression	nb:Age	site1-site2	site1	True	mean_absolute_error	0	0	70.77241910725247
mega	regression	nb:Age	site1-site2	site1	True	explained_variance	0	0	3.254544366670942e-05
mega	regression	nb:Age	site1-site2	site2	True	r2	0	0	-26.55880748877176
mega	regression	nb:Age	site1-site2	site2	True	mean_squared_error	0	0	5533.601328654658
mega	regression	nb:Age	site1-site2	site2	True	mean_absolute_error	0	0	73.03088312950145
mega	regression	nb:Age	site1-site2	site2	True	explained_variance	0	0	0.0034913807611880454
mega	regression	nb:Age	site1-site2	site1-site2	True	r2	0	0	-24.422628772133937
mega	regression	nb:Age	site1-site2	site1-site2	True	mean_squared_error	0	0	5381.177532590768
mega	regression	nb:Age	site1-site2	site1-site2	True	mean_absolute_error	0	0	71.90165111837696
mega	regression	nb:Age	site1-site2	site1-site2	True	explained_variance	0	0	0.0016001843864682508
mega	regression	nb:Age	site1-site2	site1-site2-weighted	True	r2	0	0	-24.422628772133933
mega	regression	nb:Age	site1-site2	site1-site2-weighted	True	mean_squared_error	0	0	5381.177532590768
mega	regression	nb:Age	site1-site2	site1-site2-weighted	True	mean_absolute_error	0	0	71.90165111837695
mega	regression	nb:Age	site1-site2	site1-site2-weighted	True	explained_variance	0	0	0.0016001843864683618
silo	regression	nb:Age	site1	site1	True	r2	1	0	-22.553632740847334
silo	regression	nb:Age	site1	site1	True	mean_squared_error	1	0	5277.66407146844
silo	regression	nb:Age	site1	site1	True	mean_absolute_error	1	0	71.07158542512066
silo	regression	nb:Age	site1	site1	True	explained_variance	1	0	-0.010816926331859156
silo	regression	nb:Age	site1	site2	True	r2	1	0	-27.271154977490806
silo	regression	nb:Age	site1	site2	True	mean_squared_error	1	0	5415.27951620496
silo	regression	nb:Age	site1	site2	True	mean_absolute_error	1	0	72.28601974126543
silo	regression	nb:Age	site1	site2	True	explained_variance	1	0	0.0080241234392191
silo	regression	nb:Age	site1	site1-site2	True	r2	1	0	-24.68158351091655
silo	regression	nb:Age	site1	site1-site2	True	mean_squared_error	1	0	5346.4717938367
silo	regression	nb:Age	site1	site1-site2	True	mean_absolute_error	1	0	71.67880258319305
silo	regression	nb:Age	site1	site1-site2	True	explained_variance	1	0	-0.0021036730378263258
silo	regression	nb:Age	site1	site1-site2-weighted	True	r2	1	0	-24.681583510916553
silo	regression	nb:Age	site1	site1-site2-weighted	True	mean_squared_error	1	0	5346.4717938367
silo	regression	nb:Age	site1	site1-site2-weighted	True	mean_absolute_error	1	0	71.67880258319305
silo	regression	nb:Age	site1	site1-site2-weighted	True	explained_variance	1	0	-0.0021036730378263258
silo	regression	nb:Age	site2	site1	True	r2	1	0	-22.44143402440504
silo	regression	nb:Age	site2	site1	True	mean_squared_error	1	0	5252.523697533448
silo	regression	nb:Age	site2	site1	True	mean_absolute_error	1	0	70.91217224914334
silo	regression	nb:Age	site2	site1	True	explained_variance	1	0	0.0003683793096365129
silo	regression	nb:Age	site2	site2	True	r2	1	0	-27.222666649234437
silo	regression	nb:Age	site2	site2	True	mean_squared_error	1	0	5405.991680211318
silo	regression	nb:Age	site2	site2	True	mean_absolute_error	1	0	72.20145830392657
silo	regression	nb:Age	site2	site2	True	explained_variance	1	0	-0.007273529458216688
silo	regression	nb:Age	site2	site1-site2	True	r2	1	0	-24.59889618154236
silo	regression	nb:Age	site2	site1-site2	True	mean_squared_error	1	0	5329.257688872383
silo	regression	nb:Age	site2	site1-site2	True	mean_absolute_error	1	0	71.55681527653496
silo	regression	nb:Age	site2	site1-site2	True	explained_variance	1	0	-0.0033469164606481083
silo	regression	nb:Age	site2	site1-site2-weighted	True	r2	1	0	-24.59889618154236
silo	regression	nb:Age	site2	site1-site2-weighted	True	mean_squared_error	1	0	5329.257688872383
silo	regression	nb:Age	site2	site1-site2-weighted	True	mean_absolute_error	1	0	71.55681527653496
silo	regression	nb:Age	site2	site1-site2-weighted	True	explained_variance	1	0	-0.0033469164606481083
federated	regression	nb:Age	site1-site2	site1	True	r2	1	0	-22.573206745993936
federated	regression	nb:Age	site1-site2	site1	True	mean_squared_error	1	0	5282.050020117364
federated	regression	nb:Age	site1-site2	site1	True	mean_absolute_error	1	0	71.11814642439374
federated	regression	nb:Age	site1-site2	site1	True	explained_variance	1	0	-0.0008443879196338155
federated	regression	nb:Age	site1-site2	site2	True	r2	1	0	-27.300097658813986
federated	regression	nb:Age	site1-site2	site2	True	mean_squared_error	1	0	5420.823425162278
federated	regression	nb:Age	site1-site2	site2	True	mean_absolute_error	1	0	72.32562497013474
federated	regression	nb:Age	site1-site2	site2	True	explained_variance	1	0	0.008981943167087558
federated	regression	nb:Age	site1-site2	site1-site2	True	r2	1	0	-24.705432366498297
federated	regression	nb:Age	site1-site2	site1-site2	True	mean_squared_error	1	0	5351.436722639821
federated	regression	nb:Age	site1-site2	site1-site2	True	mean_absolute_error	1	0	71.72188569726426
federated	regression	nb:Age	site1-site2	site1-site2	True	explained_variance	1	0	0.003723982422423333
federated	regression	nb:Age	site1-site2	site1-site2-weighted	True	r2	1	0	-24.705432366498293
federated	regression	nb:Age	site1-site2	site1-site2-weighted	True	mean_squared_error	1	0	5351.43672263982
federated	regression	nb:Age	site1-site2	site1-site2-weighted	True	mean_absolute_error	1	0	71.72188569726424
federated	regression	nb:Age	site1-site2	site1-site2-weighted	True	explained_variance	1	0	0.003723982422423333
mega	regression	nb:Age	site1-site2	site1	True	r2	1	0	-22.8313122631829
mega	regression	nb:Age	site1-site2	site1	True	mean_squared_error	1	0	5339.883740703218
mega	regression	nb:Age	site1-site2	site1	True	mean_absolute_error	1	0	71.52874047730614
mega	regression	nb:Age	site1-site2	site1	True	explained_variance	1	0	0.0024413826948547213
mega	regression	nb:Age	site1-site2	site2	True	r2	1	0	-27.671784304597857
mega	regression	nb:Age	site1-site2	site2	True	mean_squared_error	1	0	5492.01921044105
mega	regression	nb:Age	site1-site2	site2	True	mean_absolute_error	1	0	72.81180613819716
mega	regression	nb:Age	site1-site2	site2	True	explained_variance	1	0	0.005678855050275655
mega	regression	nb:Age	site1-site2	site1-site2	True	r2	1	0	-25.015326644258696
mega	regression	nb:Age	site1-site2	site1-site2	True	mean_squared_error	1	0	5415.951475572135
mega	regression	nb:Age	site1-site2	site1-site2	True	mean_absolute_error	1	0	72.17027330775166
mega	regression	nb:Age	site1-site2	site1-site2	True	explained_variance	1	0	0.003746599107974702
mega	regression	nb:Age	site1-site2	site1-site2-weighted	True	r2	1	0	-25.01532664425869
mega	regression	nb:Age	site1-site2	site1-site2-weighted	True	mean_squared_error	1	0	5415.951475572133
mega	regression	nb:Age	site1-site2	site1-site2-weighted	True	mean_absolute_error	1	0	72.17027330775164
mega	regression	nb:Age	site1-site2	site1-site2-weighted	True	explained_variance	1	0	0.003746599107974813
